Title,Year,Score,Description,Director,Screenplay,Type,Revenue
Dragonkeeper,2024,73,"Set in Han Imperial China, the plot follows the adventures of enslaved girl Ping with ancient dragon Long Danzi. Dragons had been banished from the kingdom. Ping, an orphan, finds one of the last remaining dragon eggs. Palace guards force Ping to run away in order to return the dragon egg to the ocean and save all dragons from extinction. Ping discovers that she is a true Dragonkeeper.","Salvador Simó, Jian-Ping Li","Carole Wilkinson, Ignacio Ferreras, Xianping Wang, Pablo Castrillo, Rosanna Cecchini","Action, Adventure, Animation, Family, Fantasy","5,427,272.00"
"The Tunnel to Summer, the Exit of Goodbyes",2022,77,"Urashima Tunnel – Once you enter that tunnel, you can get whatever you want, but at a price. Kaoru Tohno, who seems to have an elusive personality and traumatic past, and Anzu Hanashiro, who is struggling to reconcile her ideal image and true-to-heart attitude, team up to investigate the Urashima Tunnel and get what they want. This is an unforgettable summer story of nostalgia and sprinting in a remote countryside.",Tomohisa Taguchi,Tomohisa Taguchi,"Animation, Drama, Romance, Fantasy","872,000.00"
Fast X,2023,71,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",Louis Leterrier,"Justin Lin, Dan Mazeau","Action, Crime, Thriller","704,709,660.00"
The Park Maniac,2024,59,"An infamous serial killer who assaulted and killed several women in the '90s, gets on a collision course with a young journalist eager for the truth and a career-changing article.",Maurício Eça,,"Drama, Crime, Thriller, Horror",
Bangkok Breaking: Heaven and Hell,2024,66,"When a dedicated rescue worker inadvertently gets caught up in the kidnapping plot of a mogul's tween daughter, he must save her from the clutches of rival gangs hunting them down with unpredictable dangers around every corner.",Kongkiat Khomsiri,"Kongkiat Khomsiri, Nophand Boonyai","Action, Crime, Drama, Thriller",
Harry Potter and the Prisoner of Azkaban,2004,80,"Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",Alfonso Cuarón,Steve Kloves,"Adventure, Fantasy","789,804,554.00"
Trouble,2024,69,"Wrongfully convicted of murder, a clumsy electronics salesman faces police corruption and criminal conspiracies in an attempt to prove his innocence.",Jon Holmberg,,"Action, Comedy, Crime",
xXx,2002,59,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",Rob Cohen,Rich Wilkes,"Action, Adventure, Thriller, Crime","277,448,382.00"
Busty Girlfriend,2019,71,"Mincheol and Suhee go to greet Minchul father (grandmother) before marriage. Dae - sik welcomes her daughter - in - law, Su - hee. But before marriage, Minchol and Suhee are separated by the difference in personality. Soon-hee, who was only preparing for marriage, is soon to live.",Junsei,,Romance,
The Most Wonderful Time of the Year,2024,56,"Sideshow Bob teams up with the most infamous villains of Disney+ to share the true meaning of the Halloween season. Filled with music, mayhem, and madness, this short from ""The Simpsons"" is simply to die for.",David Silverman,,"Animation, Comedy",
Beetlejuice,1988,74,A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.,Tim Burton,"Michael McDowell, Warren Skaaren","Fantasy, Comedy","84,554,197.00"
Woman of the Hour,2024,66,"An aspiring actress crosses paths with a prolific serial killer in '70s LA when they're cast on an episode of ""The Dating Game.""",Anna Kendrick,,"Crime, Drama, Thriller",
Seven Cemeteries,2024,51,A recent parolee gets a Mexican witch to resurrect his old posse so that they can help him save a woman's ranch from a ruthless drug lord.,John Gulager,,"Horror, Action, Fantasy, Thriller",
The Invention of Flesh,2009,43,An unlikely relationship forms between two young patients in a hospital.,Santiago Loza,,Drama,
Die Alone,2024,60,"Lost in a world reclaimed by nature and overrun by mysterious creatures, Ethan, a young man with amnesia navigates the dangerous landscape in search of his lost love Emma.  His journey takes an unexpected turn when he encounters Mae, a hardened and eccentric survivor.  Together, Ethan and Mae face threats both human and otherwise before a fateful encounter with Kai unravels a secret that lies just beyond Ethan's fractured memory.",Lowell Dean,,"Horror, Thriller",
The Gigolo,2015,50,"Fung looks like a super-heartthrob and was bon with a special endowment, making him the high school idol. He was expelled from school when he was caught fighting on campus. When his mom, the sole provider of his family with her poultry business, had to stop working due to her back problems, Fung decides to support his family financially. And from that moment, his life takes on a tumultuous change…",Amen Au Cheuk-Man,Amen Au Cheuk-Man,"Romance, Drama, Comedy","709,136.00"
Civil War,2024,69,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",Alex Garland,,"War, Action, Drama",
Avengers: Infinity War,2018,82,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.","Joe Russo, Anthony Russo","Christopher Markus, Stephen McFeely","Adventure, Action, Science Fiction","2,052,415,039.00"
Female Ninjas Magic Chronicles 3: Sacred Book of Sexual Positions,1993,75,"The government is worried that the Emperor will have no children because he can’t get an erection. The female ninjas try to find a sacred book that will help him, but they face a stiff challenge.",Masaru Tsushima,Hiromichi Nakamoto,Action,
Descendants: The Rise of Red,2024,70,"After the Queen of Hearts incites a coup on Auradon, her rebellious daughter Red and Cinderella's perfectionist daughter Chloe join forces and travel back in time to try to undo the traumatic event that set Red's mother down her villainous path.",Jennifer Phang,,"Fantasy, Adventure, Family, Comedy",
Invasión,2024,70,Three stories intertwine to form a vision of war in a narrative kaleidoscope that transcends space and time. The seven characters of the play will face their own internal enemies and find the only way to escape in love.,David Martín Porras,Guillem Clua,"Science Fiction, Drama",
Strange Darling,2024,70,Nothing is what it seems when a twisted one-night stand spirals into a serial killer’s vicious murder spree.,JT Mollner,,"Crime, Horror, Thriller","3,504,687.00"
Gladiator II,2024,0,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",Ridley Scott,David Scarpa,"Action, Adventure",
Kill,2024,72,"When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on himself in a death-defying kill-spree to save those around him — turning what should have been a typical commute into an adrenaline-fueled thrill ride.",Nikhil Nagesh Bhat,Nikhil Nagesh Bhat,"Action, Crime, Thriller, Drama","5,400,000.00"
John Wick: Chapter 4,2023,77,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",Chad Stahelski,,"Action, Thriller, Crime","440,157,245.00"
Transformers: Rise of the Beasts,2023,73,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",Steven Caple Jr.,"Joby Harold, Erich Hoeber, Jon Hoeber, Darnell Metayer, Josh Peters","Science Fiction, Adventure, Action","439,000,000.00"
10 Lives,2024,82,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey.",Christopher Jenkins,"Christopher Jenkins, Ken Cinnamon, Karen Wengrod","Animation, Comedy, Family, Fantasy",
The Godfather,1972,87,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo","Drama, Crime","245,066,411.00"
Your Fault,2024,0,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,Domingo González,,"Drama, Romance",
Interstellar,2014,84,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,Christopher Nolan,,"Adventure, Drama, Science Fiction","701,729,206.00"
Harry Potter and the Philosopher's Stone,2001,79,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",Chris Columbus,Steve Kloves,"Adventure, Fantasy","976,475,550.00"
The Shawshank Redemption,1994,87,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",Frank Darabont,Frank Darabont,"Drama, Crime","28,341,469.00"
Unang Tikim,2024,50,"Yuna, a woman engaged with her long time boyfriend, Nicco, starts to have second thoughts when she meets again her first love, Becca. Now she is torn between the man she loves and the woman she first loved.",Roman Perez Jr.,,"Romance, Drama",
Invasion,2024,49,"When neighboring country Veragua suddenly attacks Curaçao and Aruba, the Dutch government is taken completely by surprise. The conflict escalates rapidly. Three young Navy recruits must figure out what is the right thing to do.",Bobby Boermans,,"Action, Drama, Thriller",
Saving Bikini Bottom: The Sandy Cheeks Movie,2024,68,"When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town.",Liza Johnson,,"Animation, Comedy, Adventure, Family",
The Convert,2024,62,"Munro, a soldier turned lay preacher, comes to New Zealand to minister to the first British colonists, but he is converted by the powerful chief Maianui to serve a different purpose.",Lee Tamahori,"Lee Tamahori, Shane Danielsen","Action, Drama","692,018.00"
Spider-Man: Across the Spider-Verse,2023,84,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.","Kemp Powers, Joaquim Dos Santos, Justin K. Thompson",,"Animation, Action, Adventure, Science Fiction","690,897,910.00"
The Clean Up Crew,2024,51,"When a crime scene clean up crew discovers a briefcase full of money, they must out smart a criminal kingpin and corrupt FBI agents who want it back.",Jon Keeyes,,"Action, Crime, Thriller",
365 Days: This Day,2022,59,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.","Tomasz Mandes, Barbara Białowąs",,"Romance, Drama",
The Forge,2024,82,"19 year old Isaiah Wright lives for basketball and video games. A year out of high school, he has no job, no plans, and no idea how to be a man. At odds with his single mother Cynthia, Isaiah is given an ultimatum – to step up or move out. Feeling the pull from his friends and the push from his mom, Isaiah is hired by Moore Fitness, unaware of how the owner will personally impact his life. With the prayers of his mother and unexpected guidance from his new mentor, Isaiah is forced to deal with his past, sacrifice his selfishness and discover how God might have a greater purpose for his life.",Alex Kendrick,,"Drama, Family","35,329,740.00"
Smile,2022,67,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",Parker Finn,,"Horror, Mystery","217,408,513.00"
Skinford 2: The Curse,2024,20,We don't have an overview translated in English. Help us expand our database by adding one.,Nik Kacevski,,"Thriller, Action",
Inside Out,2015,79,"When 11-year-old Riley moves to a new city, her Emotions team up to help her through the transition. Joy, Fear, Anger, Disgust and Sadness work together, but when Joy and Sadness get lost, they must journey through unfamiliar places to get back home.",Pete Docter,"Pete Docter, Josh Cooley, Meg LeFauve","Animation, Family, Adventure, Drama, Comedy","857,611,174.00"
Harold and the Purple Crayon,2024,71,"Inside of his book, adventurous Harold can make anything come to life simply by drawing it. After he grows up and draws himself off the book's pages and into the physical world, Harold finds he has a lot to learn about real life.",Carlos Saldanha,"David Guion, Michael Handelman","Family, Adventure, Fantasy, Comedy","24,982,787.00"
Trap,2024,65,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.",M. Night Shyamalan,,"Thriller, Crime, Horror","82,406,909.00"
Hounds of War,2024,65,"After a mission goes wrong, only one of a group of mercenaries is left alive to avenge his fallen brothers.",Isaac Florentine,,"Action, Thriller",
Temurun,2024,65,"After their mother dies during a violent break-in, two siblings move in with their estranged father discover their family's sinister heritage.",Inarah Syarafina,,"Horror, Thriller",
The Hobbit: The Battle of the Five Armies,2014,73,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Peter Jackson,"Peter Jackson, Guillermo del Toro, Philippa Boyens, Fran Walsh","Action, Adventure, Fantasy","956,019,788.00"
Exorcism in Utero,2023,64,"Herma finds a powerful ring that possesses her when she tries it on; as her body transforms and mind begins to deteriorate, she must find a way out to save herself and her unborn baby.",Erik Skybak,,Horror,
Dune: Part Two,2024,82,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",Denis Villeneuve,"Denis Villeneuve, Jon Spaihts","Science Fiction, Adventure","711,844,359.00"
Little Bites,2024,64,"Mindy, a young widow and mother who tries to protect her daughter Alice from a flesh eating monster named Agyar. Mindy has been secretly sacrificing her own life by allowing the creature to feast on her body as she keeps Alice hidden away at her grandmother’s house.",Spider One,,Horror,
Gracie & Pedro: Pets to the Rescue,2024,71,"Family frenemies, Gracie and Pedro, must put their differences aside, embarking on a thrilling quest packed with perilous escapades in order to reunite with their owners.",Kevin Donovan,"Jaisa C. Bishop, Bruce A. Taylor, Kelly Peters","Animation, Adventure, Comedy, Family","664,443.00"
Taken 3,2014,63,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.",Olivier Megaton,"Robert Mark Kamen, Luc Besson","Thriller, Action","325,800,000.00"
Hijack '93,2024,53,"In an effort to dismantle their military-backed government, four men hijack an airplane, leveraging passengers onboard in the name of social change.",Robert Peters,,"Thriller, Drama",
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,71,"Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",Andrew Adamson,"Andrew Adamson, Christopher Markus, Ann Peacock, Stephen McFeely","Adventure, Family, Fantasy","745,013,115.00"
The Jack in the Box: Rises,2024,68,"When a creepy Jack-in-the-Box is discovered and opened on the grounds of an exclusive girls' school, six brave students soon enter a fight to the finish against the unleashed demon.",Lawrence Fowler,,Horror,"771,460.00"
Harry Potter and the Chamber of Secrets,2002,77,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",Chris Columbus,Steve Kloves,"Adventure, Fantasy","876,688,482.00"
The Arctic Convoy,2023,68,"In 1942, a convoy of 35 civilian ships, carrying vital supplies from Iceland to the Soviet Union, faces deadly challenges in the Arctic. Despite Allied naval escort, catastrophic intelligence errors expose the convoy to relentless German air and naval attacks. In the brutal conditions, inexperienced civilian sailors fight for survival, with only 12 ships making it to their destination.",Henrik Martin Dahlsbakken,,"War, Drama","3,637,940.00"
Twilight of the Warriors: Walled In,2024,65,"In 1980s Hong Kong, troubled youth Chan Lok-kwun, a mainland refugee, struggles to survive in the Kowloon Walled City by joining underground fights. Betrayed by crime boss Mr. Big while trying to buy a fake ID, he steals drugs from him and seeks refuge in the Walled City, where he encounters Cyclone, a compassionate yet authoritative crime lord.",Soi Cheang,"Lai Chun, Tai-lee Chan, Au Kin-yee, Shum Kwan-sin","Action, Adventure, Crime, Thriller","95,335,412.00"
Salem's Lot,2024,63,Author Ben Mears returns to his childhood home of Jerusalem's Lot only to discover his hometown is being preyed upon by a bloodthirsty vampire.,Gary Dauberman,Gary Dauberman,"Horror, Mystery",
Sing: Thriller,2024,74,"Buster Moon dreams up a star-studded spectacle set to Michael Jackson's ""Thriller"" in this animated short featuring characters from the hit ""Sing"" films.",Garth Jennings,,"Animation, Family, Comedy, Horror",
An Ideal Father,2024,64,"Michel, the jovial owner of the only café in a small Normandy town, sees his life turned upside down when his teenage daughter is murdered. The community has his back but soon rumor spreads and Michel is singled out. From the ideal father, he becomes the ideal culprit.",Hélène Fillières,"Hélène Fillières, Claude Scasso","Drama, TV Movie",
Puss in Boots: The Last Wish,2022,82,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",Joel Crawford,"Tommy Swerdlow, Paul Fisher","Animation, Adventure, Fantasy, Comedy, Family","484,700,000.00"
Taken,2008,74,"While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle.",Pierre Morel,"Robert Mark Kamen, Luc Besson","Action, Thriller","226,830,568.00"
The Idea of You,2024,74,"40-year-old single mom Solène begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet. As they begin a whirlwind romance, it isn't long before Hayes' superstar status poses unavoidable challenges to their relationship, and Solène soon discovers that life in the glare of his spotlight might be more than she bargained for.",Michael Showalter,"Michael Showalter, Jennifer Westfeldt","Romance, Drama, Comedy","36,178.00"
Sonic the Hedgehog 3,2024,0,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",Jeff Fowler,"Josh Miller, Pat Casey, John Whittington","Science Fiction, Family, Comedy, Action, Adventure",
Wish,2023,64,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.","Fawn Veerasunthorn, Chris Buck","Jennifer Lee, Allison Moore","Animation, Family, Fantasy, Adventure","254,997,360.00"
The Super Mario Bros. Movie,2023,77,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","Michael Jelenic, Aaron Horvath",,"Animation, Family, Adventure, Fantasy, Comedy","1,362,000,000.00"
Blink Twice,2024,68,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. But despite the epic setting, beautiful people, ever-flowing champagne, and late-night dance parties, Frida can sense that there’s something sinister hiding beneath the island’s lush façade.",Zoë Kravitz,,"Mystery, Thriller, Horror","43,555,474.00"
Purpose of Tutoring,2023,70,"Yeong-tak and Ha-na are stepsiblings who live with the support of their divorced adoptive parents. The two begin taking individual private lessons for their respective careers. Yeong-tak secretly gives his acting teacher Na-ri sleeping pills to covet her body, while Ha-na is busy seducing her physical education teacher Han-cheol. Meanwhile, Na-ri and Han-cheol run into each other at the stepsiblings' house, fall in love at first sight, and seek revenge on the two who offended them.",Han Dong-yeon,,"Romance, Drama",
The Batman,2022,77,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",Matt Reeves,,"Crime, Mystery, Thriller","771,000,000.00"
Scream,1996,74,"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game.",Wes Craven,Kevin Williamson,"Crime, Horror, Mystery","173,046,663.00"
King of Killers,2023,65,"Garan is a part of a group of international hitmen who are contracted to take out the most dangerous killer in the world, only to find out that they're the ones being hunted.",Kevin Grevioux,,"Action, Thriller",
"Miraculous World: Paris, Tales of Shadybug and Claw Noir",2023,72,"Miraculous holders from another world appear in Paris. They come from a parallel universe where everything is reversed: the holders of Ladybug and Black Cat Miraculouses, Shadybug and Claw Noir, are the bad guys, and the holder of the Butterfly Miraculous, Hesperia, is a superhero. Ladybug and Cat Noir will have to help Hesperia counter the attacks of their evil doubles and prevent them from seizing the Butterfly's Miraculous. Can our heroes also help Hesperia make Shadybug and Claw Noir better people?",Thomas Astruc,,"Animation, Adventure, Action, Fantasy, Family",
Fifty Shades of Grey,2015,59,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",Sam Taylor-Johnson,Kelly Marcel,"Drama, Romance, Thriller","569,651,467.00"
Justice League: Crisis on Infinite Earths Part Three,2024,74,"Now fully revealed as the ultimate threat to existence, the Anti-Monitor wages an unrelenting attack on the surviving Earths that struggle for survival in a pocket universe. One by one, these worlds and all their inhabitants are vaporized! On the planets that remain, even time itself is shattered, and heroes from the past join the Justice League and their rag-tag allies against the epitome of evil. But as they make their last stand, will the sacrifice of the superheroes be enough to save us all?",Jeff Wamester,,"Animation, Science Fiction, Action",
The Ministry of Ungentlemanly Warfare,2024,71,"During World War II, the British Army assigns a group of competent soldiers to carry out a mission against the Nazi forces behind enemy lines... A true story about a secret British WWII organization – the Special Operations Executive. Founded by Winston Churchill, their irregular warfare against the Germans helped to change the course of the war, and gave birth to modern black operations.",Guy Ritchie,"Guy Ritchie, Eric Johnson, Paul Tamasy, Arash Amel","Action, Comedy, War","27,450,915.00"
MadS,2024,69,"A teenager stops off to see his dealer to test a new drug before heading off for a night of partying. On the way home, he picks up an injured woman and the night takes a surreal turn.",David Moreau,,"Horror, Thriller",
Officer Black Belt,2024,78,A talented martial artist who can't walk past a person in need unites with a probation officer to fight and prevent crime as a martial arts officer.,Jason Kim,,"Action, Comedy, Crime",
Mantra Warrior: The Legend of The Eight Moons,2023,64,"A story inspired by the original RAMAYANA, retold in a futuristic universe, involving brave warriors who possess ancient powers from another dimension.",Jinanavin Veerapatra,Sornperes Subsermsri,"Animation, Action, Adventure, Fantasy, Science Fiction",
Outlaw,2024,60,"At the age of nine, Rebeca is sold by her grandmother to the bookseller who ran Rocinha. Disputed by bicheiros and drug dealers, the community is going through changes in power. Rebeca becomes the wife of the chief drug dealer and, with the death of her partner, his successor. The electrifying trajectory of crime, violence, drugs and love of a female drug kingpin in Rocinha, Rio de Janeiro in the 1980s.",João Wainer,,"Action, Crime, Drama",
Wonka,2023,71,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",Paul King,"Paul King, Simon Farnaby","Comedy, Family, Fantasy","632,302,312.00"
Avatar: The Way of Water,2022,76,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",James Cameron,"James Cameron, Amanda Silver, Rick Jaffa","Science Fiction, Adventure, Action","2,320,250,281.00"
Barbie,2023,70,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",Greta Gerwig,,"Comedy, Adventure","1,445,638,421.00"
Scouts Guide to the Zombie Apocalypse,2015,65,"Three scouts and lifelong friends join forces with one badass cocktail waitress to become the world’s most unlikely team of heroes.  When their peaceful town is ravaged by a zombie invasion, they’ll fight for the badge of a lifetime and put their scouting skills to the test to save mankind from the undead.",Christopher Landon,"Christopher Landon, Carrie Lee Wilson, Emi Mochizuki","Comedy, Horror","14,900,000.00"
BLUE LOCK THE MOVIE -EPISODE NAGI-,2024,71,"""That's a hassle."" That was second-year high schooler Nagi Seishirou's favorite phrase as he lived his dull life. Until Mikage Reo, a classmate who dreamed of winning the World Cup, discovered Nagi's hidden skill, inspiring him to play soccer and share his outstanding talent. One day, Nagi Seishiro receives an invitation to the mysterious Blue Lock Project. What awaits him there is an encounter with the finest strikers assembled from across the country. Nagi's dream of becoming the best, alongside Mikage Reo, will take this prodigy to a world he's never known.",Shunsuke Ishikawa,Taku Kishimoto,"Animation, Action, Drama","11,201,738.00"
Outside,2024,57,"A family retreats to an isolated farm during a zombie outbreak, but years of painful secrets take a toll as they navigate their desolate world.",Carlo Ledesma,,"Horror, Thriller",
Caddo Lake,2024,73,"When an 8-year-old girl mysteriously vanishes on Caddo Lake, a series of past deaths and disappearances begin to link together, forever altering a broken family’s history.","Logan George, Celine Held","Logan George, Celine Held","Thriller, Mystery, Drama",
The Marvels,2023,61,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",Nia DaCosta,,"Science Fiction, Adventure, Action","207,089,999.00"
V/H/S/Beyond,2024,69,"The infinite playground of forbidden worlds and dangerous lifeforms offered by the sci-fi horror genre will lead to the biggest, maddest, bloodiest V/H/S ever.","Virat Pal, Christian Long, Jordan Downey, Justin Martinez, Justin Long, Kate Siegel, Jay Cheel","Jordan Downey, Ben Turner, Kevin Stewart","Horror, Science Fiction, Thriller",
Private Collections,1979,52,"Three stories. A solitary sailor falls from his boat and washes ashore on a tropical island. While seeking rescue, he's found by a nearly naked woman who is playful and compliant. He decides to erase his signs of distress and remain on the island. What awaits?  In the second, an adolescent searches for the words of a nursery rime he remembers bits of. His journey takes him into dreams, sexual awakening, and Oedipal fantasy.  Third, a man of wealth in late-nineteenth century Paris hires a prostitute for the night. She's also cabaret performer and takes him to her room. He fears he's about to be robbed. What's her secret?","Shūji Terayama, Walerian Borowczyk, Just Jaeckin","Shūji Terayama, Rio Kishida","Drama, Romance",
Oddity,2024,69,"After the brutal murder of her twin sister, Darcy goes after those responsible by using haunted items as her tools for revenge.",Damian Mc Carthy,,"Horror, Mystery","1,265,030.00"
Late Night with the Devil,2024,73,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.","Colin Cairnes, Cameron Cairnes",,Horror,"11,902,746.00"
